,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,Gender,NumberOfDeviceRegistered,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,avg_cashbk_per_order,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_DC,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop,PreferedOrderCat_Mobile,PreferedOrderCat_Others,Churn
28,18.0,1,1,16.0,1,3,4,1,9,0,15.0,123.47999999999999,123.47999999999999,0,0,1,0,0,0,0,1,0,0,0
29,5.0,0,3,14.0,0,3,2,2,2,0,7.0,189.98,63.32666666666666,0,0,0,1,0,1,0,0,0,0,0
30,2.0,0,1,6.0,1,3,3,0,2,0,9.0,143.19,143.19,0,1,0,0,0,0,0,1,0,0,0
31,0.0,1,1,13.0,1,4,3,0,3,0,0.0,161.32,161.32,1,0,0,0,0,0,0,1,0,0,0
32,30.0,1,1,15.0,0,4,4,0,5,1,0.0,133.46,133.46,1,0,0,0,0,0,0,0,1,0,0
33,13.0,1,3,10.0,1,4,2,0,8,0,11.0,208.55,104.275,0,0,0,1,0,1,0,0,0,0,0
34,10.0,0,3,8.0,0,3,3,0,7,0,2.0,122.31,122.31,0,0,0,1,0,0,0,0,1,0,0
35,0.0,1,1,16.0,1,3,2,0,2,0,2.0,123.22999999999999,61.614999999999995,1,0,0,0,0,0,0,0,1,0,0
36,10.0,0,1,15.0,1,3,4,1,7,0,2.0,120.24000000000001,60.120000000000005,1,0,0,0,0,0,0,0,1,0,0
37,1.0,1,1,27.0,1,3,2,0,2,0,2.0,127.13,127.13,1,0,0,0,0,0,0,0,1,0,0
38,30.0,1,1,30.0,1,2,2,1,4,1,4.0,194.39,194.39,0,0,1,0,0,1,0,0,0,0,0
39,0.0,0,1,16.0,1,4,3,1,2,1,1.0,125.66,125.66,1,0,0,0,0,0,0,0,1,0,0
40,23.0,1,1,17.0,0,3,4,2,4,0,4.0,299.26,74.815,0,0,1,0,0,0,0,0,0,1,0
41,14.0,1,1,16.0,1,3,3,1,5,0,8.0,124.50999999999999,124.50999999999999,0,0,1,0,0,0,0,0,1,0,0
42,3.0,1,3,11.0,0,3,2,0,3,0,4.0,194.19,27.74142857142857,0,0,1,0,0,1,0,0,0,0,0
43,11.0,1,3,6.0,0,4,2,2,5,0,1.0,186.86,186.86,0,0,1,0,0,0,0,1,0,0,0
44,5.0,1,1,12.0,1,3,3,2,4,0,4.0,130.38,130.38,0,0,1,0,0,0,0,0,1,0,0
45,0.0,1,1,23.0,1,3,4,0,1,1,1.0,130.58,130.58,0,1,0,0,0,0,0,0,1,0,0
46,0.0,0,3,16.0,0,5,5,2,1,0,0.0,123.25,123.25,0,1,0,0,0,0,0,0,1,0,1
47,10.0,0,1,9.0,1,3,4,2,5,0,2.0,120.88,17.268571428571427,1,0,0,0,0,0,0,0,1,0,0
48,3.0,0,1,15.0,1,3,5,1,2,0,10.0,130.72,21.786666666666665,1,0,0,0,0,0,0,1,0,0,0
49,18.0,1,3,10.0,0,3,5,1,5,1,3.0,150.06,150.06,0,0,1,0,0,0,0,1,0,0,0
50,29.0,1,1,14.0,0,3,5,1,5,1,2.0,142.57,71.285,0,0,1,0,0,0,0,0,1,0,0
51,6.0,1,1,16.0,1,3,2,2,1,0,2.0,125.0,125.0,0,0,1,0,0,0,0,0,1,0,0
52,0.0,1,1,8.0,1,4,2,2,2,0,0.0,116.00999999999999,116.00999999999999,0,0,1,0,0,0,0,0,1,0,1
53,19.0,1,3,6.0,0,3,5,1,2,0,7.0,204.53,13.635333333333334,0,0,0,1,0,1,0,0,0,0,0
54,10.0,1,1,15.0,0,3,2,2,2,0,1.0,122.88,61.44,0,0,1,0,0,0,0,0,1,0,0
55,4.0,1,1,18.0,0,3,2,0,9,1,2.0,139.29,139.29,1,0,0,0,0,0,0,0,1,0,0
56,10.0,1,1,33.0,0,3,4,2,3,0,2.0,123.11000000000001,123.11000000000001,1,0,0,0,0,0,0,0,1,0,0
57,4.0,1,3,26.0,0,3,4,2,2,1,2.0,131.4,131.4,0,0,0,1,0,0,0,0,1,0,1
58,23.0,1,1,6.0,1,4,3,0,3,0,2.0,136.9,136.9,1,0,0,0,0,0,0,0,1,0,0
59,26.0,1,1,19.0,0,2,5,1,2,0,3.0,144.5,144.5,1,0,0,0,0,0,0,1,0,0,0
60,6.0,1,1,20.0,0,3,4,0,2,0,6.0,127.56,127.56,1,0,0,0,0,0,0,0,1,0,0
61,13.0,1,1,10.0,0,3,3,0,2,0,9.0,290.33,32.25888888888889,1,0,0,0,0,0,0,0,0,1,0
62,28.0,1,1,20.0,1,2,4,2,9,0,15.0,287.22,143.61,1,0,0,0,0,0,0,0,0,1,0
63,7.0,0,1,8.0,1,4,3,0,2,0,9.0,195.47,195.47,0,0,1,0,0,0,0,1,0,0,0
64,24.0,1,1,9.0,0,3,4,2,4,0,0.0,237.33999999999997,118.66999999999999,1,0,0,0,0,0,1,0,0,0,0
65,25.0,1,1,6.0,1,4,3,0,1,0,9.0,299.99,27.271818181818183,0,0,1,0,0,0,0,0,0,1,0
66,10.0,1,1,15.0,0,3,4,2,2,0,3.0,122.78999999999999,122.78999999999999,1,0,0,0,0,0,0,0,1,0,0
67,0.0,1,1,29.0,1,4,3,0,4,1,1.0,159.16,159.16,0,0,1,0,0,0,0,1,0,0,1
68,10.0,0,1,13.0,1,2,2,1,5,0,2.0,120.88999999999999,60.44499999999999,1,0,0,0,0,0,0,0,1,0,0
69,18.0,0,1,8.0,1,4,2,0,10,0,8.0,267.92,24.35636363636364,1,0,0,0,0,0,1,0,0,0,0
70,10.0,1,1,27.0,1,2,5,0,2,1,7.0,135.64,135.64,0,0,1,0,0,0,0,0,1,0,0
71,8.0,0,1,8.0,0,3,4,2,6,0,2.0,144.25,144.25,1,0,0,0,0,0,0,1,0,0,0
72,15.0,0,1,27.0,0,3,3,1,3,0,2.0,152.65,152.65,1,0,0,0,0,0,0,1,0,0,0
73,11.0,1,1,8.0,1,3,3,0,10,0,0.0,165.53,165.53,0,0,1,0,0,0,0,1,0,0,0
74,11.0,1,1,35.0,1,3,2,0,4,0,7.0,162.61,162.61,0,1,0,0,0,0,0,1,0,0,0
75,0.0,0,1,6.0,1,4,5,0,6,0,0.0,142.98,71.49,0,1,0,0,0,0,0,1,0,0,0
76,22.0,0,1,24.0,1,3,2,1,2,1,7.0,168.04,168.04,0,0,1,0,0,0,0,1,0,0,0
77,7.0,0,1,16.0,1,3,3,1,2,1,0.0,138.15,69.075,1,0,0,0,0,0,0,0,1,0,0
78,13.0,1,1,25.0,1,3,2,0,9,1,7.0,127.41,42.47,1,0,0,0,0,0,0,1,0,0,0
79,1.0,1,1,35.0,1,3,5,0,8,1,0.0,166.73,166.73,1,0,0,0,0,0,0,1,0,0,1
80,0.0,1,3,33.0,0,3,2,0,2,0,9.0,176.39,176.39,0,0,0,1,0,1,0,0,0,0,1
81,0.0,1,1,16.0,1,2,4,1,2,1,2.0,123.28,61.64,0,0,1,0,0,0,0,0,1,0,0
82,10.0,0,1,24.0,0,3,2,2,2,0,7.0,121.53,121.53,1,0,0,0,0,0,0,0,1,0,0
83,13.0,0,1,15.0,1,4,2,0,10,0,2.0,148.76,148.76,0,0,1,0,0,0,0,1,0,0,0
84,19.0,1,1,6.0,1,3,5,1,8,0,3.0,193.96,193.96,1,0,0,0,0,1,0,0,0,0,0
85,0.0,1,3,10.0,1,5,2,0,2,0,8.0,204.0,22.666666666666668,1,0,0,0,0,1,0,0,0,0,1
86,3.0,0,1,6.0,1,4,3,2,2,0,8.0,184.74,36.948,0,0,1,0,0,1,0,0,0,0,0
87,0.0,0,3,26.0,0,3,3,2,2,0,7.0,199.81,199.81,0,0,1,0,0,0,0,1,0,0,0
88,24.0,1,1,14.0,1,4,4,0,6,0,3.0,224.89999999999998,56.224999999999994,0,0,1,0,0,1,0,0,0,0,0
89,0.0,1,1,16.0,0,3,5,2,6,1,4.0,126.57,126.57,0,1,0,0,0,0,0,0,1,0,1
90,14.0,1,3,12.0,0,3,2,2,4,1,0.0,235.91000000000003,117.95500000000001,0,0,1,0,0,1,0,0,0,0,0
91,0.0,0,3,32.0,0,4,5,2,6,0,1.0,166.96,166.96,0,0,0,1,0,0,0,1,0,0,1
92,10.0,1,1,6.0,1,3,3,2,1,0,5.0,120.58000000000001,120.58000000000001,0,1,0,0,0,0,0,0,1,0,1
93,18.0,0,3,12.0,0,4,2,2,7,0,8.0,188.65,15.720833333333333,1,0,0,0,0,1,0,0,0,0,0
94,27.0,1,3,9.0,0,3,5,0,3,0,5.0,159.4,159.4,0,0,0,1,0,0,0,1,0,0,0
95,9.0,1,1,11.0,1,3,4,2,9,0,7.0,159.14,53.04666666666666,0,0,1,0,0,0,0,1,0,0,0
96,6.0,1,1,16.0,0,4,4,0,7,0,1.0,126.22,126.22,1,0,0,0,0,0,0,0,1,0,0
97,10.0,0,1,17.0,1,3,2,1,2,1,3.0,221.85000000000002,221.85000000000002,0,0,0,0,1,1,0,0,0,0,0
98,11.0,1,3,9.0,1,3,3,1,1,0,13.0,206.08999999999997,41.217999999999996,0,0,1,0,0,1,0,0,0,0,0
99,4.0,0,1,6.0,1,5,3,0,1,0,4.0,143.45,143.45,1,0,0,0,0,0,0,1,0,0,0
100,10.0,1,1,9.0,1,4,2,0,4,0,0.0,121.77000000000001,121.77000000000001,0,0,1,0,0,0,0,0,1,0,0
101,10.0,0,3,10.0,1,3,2,1,5,0,8.0,116.00999999999999,23.201999999999998,0,0,0,1,0,0,0,0,1,0,0
102,2.0,0,3,6.0,0,3,2,0,2,0,1.0,179.18,44.795,1,0,0,0,0,1,0,0,0,0,0
103,8.0,0,3,6.0,0,3,3,2,2,0,8.0,187.89,187.89,0,0,0,1,0,1,0,0,0,0,0
104,0.0,1,1,16.0,1,4,2,2,2,1,1.0,123.88999999999999,123.88999999999999,1,0,0,0,0,0,0,0,1,0,1
105,25.0,1,1,8.0,0,4,2,2,8,0,2.0,132.12,66.06,0,0,1,0,0,0,0,0,1,0,0
106,15.0,1,1,10.0,1,3,2,0,2,0,15.0,292.32,26.574545454545454,0,1,0,0,0,0,0,0,0,1,0
107,10.0,1,2,12.0,1,3,3,0,9,0,2.0,122.66999999999999,61.334999999999994,1,0,0,0,0,0,0,0,1,0,0
108,23.0,1,3,6.0,0,3,2,1,4,0,6.0,295.17,295.17,1,0,0,0,0,0,0,0,0,1,0
109,0.0,1,1,16.0,1,3,2,0,6,1,4.0,124.36000000000001,124.36000000000001,1,0,0,0,0,0,0,0,1,0,1
110,16.0,1,3,22.0,0,3,2,0,6,1,9.0,260.64,130.32,0,0,0,1,0,0,1,0,0,0,0
111,0.0,1,1,8.0,0,3,5,0,8,0,7.0,127.07,127.07,0,0,1,0,0,0,0,0,1,0,1
112,25.0,0,3,8.0,1,4,3,2,2,1,12.0,290.68,19.378666666666668,0,0,1,0,0,0,0,0,0,1,0
113,5.0,1,3,10.0,0,3,4,0,3,0,2.0,139.31,139.31,0,0,1,0,0,0,0,0,1,0,0
114,0.0,1,1,6.0,1,4,3,2,1,1,2.0,137.3,137.3,0,0,1,0,0,0,0,0,1,0,1
115,10.0,1,1,6.0,0,3,3,1,8,0,2.0,122.32,122.32,1,0,0,0,0,0,0,0,1,0,0
116,5.0,0,3,32.0,1,3,2,0,1,0,2.0,144.65,72.325,0,0,0,1,0,0,0,1,0,0,0
117,14.0,1,1,25.0,1,3,5,1,3,0,0.0,130.72,130.72,0,0,1,0,0,0,0,1,0,0,0
118,13.0,1,1,30.0,1,3,2,1,2,0,7.0,133.19,33.2975,0,1,0,0,0,0,0,1,0,0,0
119,18.0,1,1,6.0,1,2,2,0,1,0,7.0,292.02,292.02,0,0,0,0,1,0,0,0,0,1,0
120,4.0,0,1,9.0,1,3,3,1,10,0,2.0,236.75,118.375,1,0,0,0,0,1,0,0,0,0,0
121,6.0,1,1,11.0,0,4,2,0,2,0,2.0,129.11,129.11,0,0,1,0,0,0,0,0,1,0,0
122,7.0,1,1,8.0,1,4,5,0,7,0,9.0,159.57,31.913999999999998,0,0,1,0,0,0,0,1,0,0,0
123,10.0,1,1,6.0,0,4,5,0,3,0,2.0,139.2,139.2,1,0,0,0,0,0,0,0,1,0,0
124,18.0,0,1,13.0,1,2,3,0,5,0,2.0,164.34,164.34,0,0,1,0,0,0,0,1,0,0,0
125,0.0,0,1,16.0,1,3,3,1,7,0,0.0,200.48,200.48,1,0,0,0,0,1,0,0,0,0,1
126,12.0,0,1,8.0,0,3,3,2,1,0,3.0,209.38,19.034545454545455,0,1,0,0,0,1,0,0,0,0,0
127,2.0,1,1,16.0,1,3,2,2,2,0,5.0,123.4,123.4,0,0,1,0,0,0,0,0,1,0,0
128,15.0,1,1,23.0,0,2,5,2,4,1,2.0,165.45,165.45,0,0,1,0,0,0,0,1,0,0,0
129,2.0,1,3,26.0,1,3,2,1,3,0,2.0,169.31,169.31,0,0,0,1,0,0,0,1,0,0,0
130,0.0,1,1,6.0,0,3,3,0,1,0,2.0,148.98,148.98,0,0,1,0,0,0,0,1,0,0,0
131,15.0,1,1,16.0,0,4,5,1,1,1,8.0,125.93,17.990000000000002,1,0,0,0,0,0,0,0,1,0,0
132,13.0,1,1,8.0,1,3,3,1,1,0,9.0,294.36,98.12,1,0,0,0,0,0,0,0,0,1,0
133,24.0,1,1,6.0,1,3,2,0,2,0,0.0,127.22999999999999,127.22999999999999,0,0,1,0,0,0,0,0,1,0,0
134,0.0,0,1,35.0,1,4,4,2,1,0,4.0,134.79,134.79,1,0,0,0,0,0,0,0,1,0,1
135,5.0,0,1,13.0,1,2,4,0,2,0,3.0,127.94,127.94,0,0,1,0,0,0,0,0,1,0,0
136,11.0,0,3,8.0,1,4,2,0,4,0,5.0,152.49,21.784285714285716,0,0,1,0,0,0,0,1,0,0,0
137,10.0,1,1,8.0,1,4,5,2,5,0,4.0,121.75999999999999,121.75999999999999,0,1,0,0,0,0,0,1,0,0,0
138,19.0,1,3,8.0,0,5,4,0,4,1,7.0,268.72,38.38857142857143,0,1,0,0,0,0,1,0,0,0,0
139,0.0,1,1,8.0,1,3,3,2,3,0,0.0,134.85,134.85,0,0,1,0,0,0,0,0,1,0,1
140,2.0,1,3,8.0,1,4,4,0,3,0,0.0,166.44,166.44,1,0,0,0,0,0,0,1,0,0,0
141,4.0,1,1,29.0,1,4,2,0,1,0,8.0,155.82,22.259999999999998,1,0,0,0,0,0,0,1,0,0,0
142,0.0,0,1,11.0,1,2,5,1,2,0,5.0,140.0,140.0,0,0,1,0,0,0,0,1,0,0,0
143,18.0,1,1,26.0,1,3,2,0,1,1,10.0,234.95999999999998,117.47999999999999,1,0,0,0,0,0,1,0,0,0,0
144,9.0,1,1,12.0,1,3,2,0,1,0,11.0,132.1,13.209999999999999,0,0,1,0,0,0,0,0,1,0,0
145,28.0,1,1,6.0,1,3,5,2,1,1,13.0,290.45,72.6125,1,0,0,0,0,0,0,0,0,1,0
146,10.0,0,1,35.0,1,3,4,0,2,1,3.0,218.49,24.276666666666667,0,0,1,0,0,1,0,0,0,0,1
147,10.0,1,1,15.0,1,3,2,0,2,0,4.0,120.69999999999999,120.69999999999999,1,0,0,0,0,0,0,0,1,0,0
148,10.0,1,3,12.0,1,3,2,0,5,0,1.0,165.02,165.02,1,0,0,0,0,0,0,1,0,0,0
149,0.0,1,1,9.0,1,4,3,2,2,0,0.0,132.3,132.3,1,0,0,0,0,0,0,0,1,0,0
150,10.0,0,1,6.0,0,3,2,1,3,1,2.0,236.02999999999997,118.01499999999999,1,0,0,0,0,1,0,0,0,0,0
151,2.0,1,1,28.0,0,2,4,1,8,0,3.0,219.95999999999998,36.66,0,0,1,0,0,1,0,0,0,0,0
152,11.0,1,3,13.0,0,2,5,1,2,1,7.0,156.05,22.292857142857144,1,0,0,0,0,0,0,1,0,0,0
153,0.0,0,1,6.0,0,3,4,1,2,0,4.0,163.97,163.97,0,0,1,0,0,0,0,1,0,0,0
154,23.0,1,1,10.0,1,3,4,1,4,0,6.0,291.44,291.44,0,0,1,0,0,0,0,0,0,1,0
155,26.0,1,1,9.0,1,3,3,0,4,1,3.0,275.84,275.84,1,0,0,0,0,0,1,0,0,0,0
156,15.0,1,3,6.0,1,3,3,0,2,0,6.0,149.07,13.55181818181818,0,0,1,0,0,0,0,1,0,0,0
157,2.0,0,3,8.0,1,3,2,2,2,0,9.0,145.54,145.54,0,0,1,0,0,0,0,1,0,0,0
158,28.0,1,1,26.0,1,3,2,0,4,1,8.0,154.15,154.15,0,1,0,0,0,0,0,1,0,0,0
159,0.0,0,1,17.0,1,3,5,0,2,1,3.0,147.41,49.13666666666666,1,0,0,0,0,0,0,1,0,0,0
160,10.0,1,1,6.0,0,3,2,2,2,0,7.0,121.15,24.23,0,0,1,0,0,0,0,0,1,0,0
161,7.0,0,1,30.0,1,3,3,1,4,1,0.0,131.61,131.61,0,0,1,0,0,0,0,0,1,0,1
162,11.0,1,1,29.0,1,3,2,1,10,0,2.0,157.45,157.45,0,0,1,0,0,0,0,1,0,0,0
163,0.0,1,1,16.0,1,3,4,1,3,1,2.0,123.72999999999999,123.72999999999999,1,0,0,0,0,0,0,0,1,0,1
164,1.0,1,1,14.0,0,3,2,2,2,0,2.0,133.1,133.1,0,0,1,0,0,0,0,0,1,0,0
165,22.0,0,1,16.0,0,3,5,2,10,1,2.0,286.65,286.65,0,0,1,0,0,0,0,0,0,1,0
166,9.0,1,1,9.0,1,3,4,2,5,0,7.0,144.85,20.692857142857143,0,1,0,0,0,0,0,1,0,0,0
167,4.0,0,3,11.0,0,3,4,1,2,0,2.0,127.88999999999999,63.94499999999999,0,0,0,1,0,0,0,0,1,0,0
168,0.0,1,3,10.0,1,4,2,2,2,1,4.0,158.28,22.611428571428572,0,0,0,1,0,0,0,1,0,0,1
169,10.0,0,1,16.0,1,3,2,0,2,1,2.0,123.25999999999999,123.25999999999999,1,0,0,0,0,0,0,0,1,0,0
170,15.0,0,3,32.0,0,3,4,0,6,0,8.0,235.25,117.625,0,0,0,1,0,0,1,0,0,0,0
171,10.0,1,1,9.0,1,3,3,2,2,0,0.0,116.00999999999999,116.00999999999999,0,0,1,0,0,0,0,0,1,0,1
172,8.0,1,3,22.0,1,3,4,0,1,0,9.0,180.2,30.03333333333333,0,0,0,1,0,1,0,0,0,0,0
173,9.0,0,1,24.0,1,2,2,0,5,0,0.0,136.88,136.88,0,0,1,0,0,0,0,0,1,0,0
174,24.0,1,1,8.0,1,5,4,1,6,0,2.0,154.82,154.82,1,0,0,0,0,0,0,1,0,0,0
175,14.0,1,3,8.0,1,3,4,2,2,0,4.0,260.15,130.075,0,0,1,0,0,0,1,0,0,0,0
176,0.0,1,3,16.0,0,4,3,2,2,0,0.0,116.00999999999999,116.00999999999999,1,0,0,0,0,0,0,0,1,0,0
177,1.0,1,1,22.0,1,2,5,2,1,0,7.0,156.61,156.61,1,0,0,0,0,0,0,1,0,0,0
178,4.0,1,3,13.0,1,2,2,0,5,0,7.0,169.29,24.184285714285714,0,1,0,0,0,0,0,1,0,0,0
179,12.0,1,1,6.0,1,2,2,1,1,0,7.0,196.13,65.37666666666667,1,0,0,0,0,1,0,0,0,0,0
180,9.0,0,1,30.0,0,3,4,0,8,0,8.0,156.74,156.74,0,0,1,0,0,0,0,1,0,0,0
181,5.0,1,3,13.0,1,4,3,0,2,0,8.0,154.84,38.71,0,0,1,0,0,0,0,1,0,0,0
182,11.0,1,1,31.0,0,4,4,0,4,0,3.0,220.61,220.61,0,0,1,0,0,1,0,0,0,0,0
183,30.0,0,1,6.0,1,5,3,1,3,1,2.0,156.6,156.6,0,0,1,0,0,0,0,1,0,0,0
184,4.0,1,1,11.0,1,3,2,0,1,1,3.0,148.21,148.21,0,1,0,0,0,0,0,0,1,0,0
185,4.0,1,2,8.0,1,4,5,0,4,0,0.0,164.1,164.1,0,0,0,0,1,0,0,1,0,0,0
186,18.0,0,1,13.0,1,3,5,1,2,0,11.0,152.1,16.9,0,0,1,0,0,1,0,0,0,0,0
187,4.0,1,1,8.0,1,3,2,1,1,1,2.0,126.94999999999999,63.474999999999994,0,0,1,0,0,0,0,0,1,0,0
188,6.0,0,1,11.0,0,3,4,0,7,0,3.0,218.77999999999997,27.347499999999997,0,0,1,0,0,1,0,0,0,0,0
189,12.0,1,1,16.0,1,3,5,0,2,1,10.0,270.68,24.60727272727273,1,0,0,0,0,0,1,0,0,0,0
190,16.0,0,1,16.0,0,3,2,2,1,0,7.0,124.55000000000001,124.55000000000001,0,0,1,0,0,0,0,0,1,0,0
191,22.0,1,1,6.0,0,4,3,2,8,1,7.0,239.64,119.82,0,1,0,0,0,0,1,0,0,0,0
192,15.0,1,1,14.0,1,4,4,0,3,0,7.0,149.41,21.344285714285714,1,0,0,0,0,0,0,1,0,0,1
193,0.0,1,1,16.0,0,3,4,2,2,1,2.0,124.78,124.78,0,0,1,0,0,0,0,0,1,0,0
194,5.0,1,3,14.0,0,4,4,0,2,1,9.0,152.28,13.843636363636364,0,1,0,0,0,0,0,1,0,0,0
195,0.0,1,3,8.0,1,3,3,2,2,1,4.0,144.78,144.78,0,0,1,0,0,0,0,1,0,0,0
196,4.0,1,3,13.0,1,3,2,1,5,0,7.0,175.47,175.47,0,0,0,1,0,0,0,1,0,0,0
197,5.0,1,1,8.0,0,2,2,2,8,0,7.0,150.55,150.55,1,0,0,0,0,0,0,1,0,0,0
198,0.0,1,1,8.0,1,5,2,0,6,1,2.0,134.64,67.32,1,0,0,0,0,0,0,0,1,0,1
199,3.0,1,1,34.0,0,3,2,0,2,0,9.0,157.75,157.75,1,0,0,0,0,0,0,1,0,0,0
200,4.0,0,1,13.0,0,4,3,0,2,0,9.0,189.43,23.67875,0,0,1,0,0,1,0,0,0,0,0
201,12.0,0,1,5.0,1,4,2,0,2,0,3.0,292.72,22.516923076923078,1,0,0,0,0,0,0,0,0,1,0
202,2.0,1,3,9.0,0,3,3,0,5,1,0.0,152.38,152.38,1,0,0,0,0,0,0,1,0,0,1
203,6.0,0,3,16.0,1,4,2,2,4,0,1.0,146.82,146.82,0,0,0,1,0,0,0,1,0,0,0
204,20.0,1,1,11.0,1,3,3,0,5,0,1.0,283.0,283.0,0,0,1,0,0,0,0,0,0,1,0
205,16.0,0,1,16.0,0,4,3,1,2,0,0.0,152.57,152.57,0,0,1,0,0,0,0,1,0,0,0
206,0.0,0,3,6.0,1,3,4,0,1,1,4.0,163.49,163.49,0,0,0,1,0,0,0,1,0,0,0
207,27.0,0,1,26.0,0,3,3,2,4,0,3.0,148.69,148.69,0,0,1,0,0,0,0,1,0,0,0
208,16.0,1,1,13.0,0,3,5,0,9,0,0.0,199.85,199.85,0,0,1,0,0,1,0,0,0,0,0
209,18.0,1,1,14.0,1,3,2,0,10,0,8.0,136.97,15.21888888888889,0,0,0,0,1,0,0,1,0,0,0
210,13.0,1,3,6.0,1,5,2,0,3,1,2.0,174.57,174.57,1,0,0,0,0,0,0,1,0,0,0
211,10.0,1,1,14.0,1,5,5,0,2,1,7.0,121.19,121.19,0,0,0,0,1,0,0,0,1,0,1
212,2.0,1,1,15.0,1,4,2,2,1,0,2.0,139.83,69.915,0,0,0,0,1,0,0,0,1,0,0
213,3.0,1,3,11.0,0,4,3,1,2,0,2.0,161.18,161.18,0,0,0,1,0,0,0,1,0,0,0
214,0.0,1,3,14.0,0,3,4,0,2,0,7.0,162.14,162.14,0,0,0,1,0,0,0,1,0,0,0
215,10.0,1,1,11.0,1,3,2,1,8,0,4.0,163.47,163.47,1,0,0,0,0,0,0,1,0,0,0
216,11.0,1,1,21.0,1,4,2,1,1,1,3.0,215.10000000000002,107.55000000000001,0,0,1,0,0,1,0,0,0,0,0
